STATE_UT_NAME,DISTRICT,winter_pct,summer_pct,monsoon_pct,post_monsoon_pct,rainfall_cv,monsoon_dominance,annual_intensity,seasonal_entropy,DBSCAN_Cluster
ANDAMAN And NICOBAR ISLANDS,NICOBAR,0.0588906316840154,0.1927491800941109,0.4303436475117639,0.3180165407101098,0.4868899057970688,0.7554443049089835,2.513169682852535,1.211307809420365,-1
ARUNACHAL PRADESH,LOWER DIBANG,0.0930560451180824,0.3740649355735714,0.4203971331218423,0.1124818861865037,0.5388199414695422,0.7253192778395031,2.287493280774055,1.1988604705002328,-1
ARUNACHAL PRADESH,CHANGLANG,0.0680606111910606,0.3545528937046756,0.4605378255594119,0.1168486695448517,0.5833864421626456,0.8536980851272631,3.174968643612256,1.1584805264343288,-1
ARUNACHAL PRADESH,LOW SUBANSIRI,0.1076466607672687,0.2930092134714486,0.5185570766748218,0.0807870490864608,0.5876564332143068,1.0770894139073528,1.721107328435764,1.1434119496808617,-1
ARUNACHAL PRADESH,UPPER SIANG,0.0570182412939278,0.2655096431248722,0.581268031166943,0.0962040844142568,0.6757410915975929,1.3881625338316268,3.9438272710983697,1.056019680122381,-1
ARUNACHAL PRADESH,DIBANG VALLEY,0.0930560451180824,0.3740649355735714,0.4203971331218423,0.1124818861865037,0.5388199414695422,0.7253192778395031,2.287493280774055,1.1988604705002328,-1
ARUNACHAL PRADESH,KURUNG KUMEY,0.0687373396353814,0.2904794058068872,0.565608822867432,0.0751744316902993,0.6673843867683965,1.3020725375108058,1.9902347249596848,1.059999735648444,-1
MEGHALAYA,EAST KHASI HI,0.0064059940643194,0.1907040106388154,0.7495499586448484,0.0533400366520166,1.091074257476654,2.992812275469266,5.524189213402616,0.7207816672082286,-1
MEGHALAYA,JAINTIA HILLS,0.0122102227307638,0.1561466480665841,0.731594539099359,0.1000485901032931,1.0084728315183698,2.725706609013252,5.715731947679627,0.8027161134013918,-1
MANIPUR,TAMENGLONG,0.0384684547604885,0.165424038288631,0.7231682182230644,0.0729392887278159,0.9874506687355908,2.612302002392294,6.4767066833900735,0.8483179988765542,-1
HIMACHAL,KINNAUR,0.2509564801530368,0.3116929698708752,0.3158775705404112,0.1214729794356767,0.434383264702077,0.4617266681899218,0.7493280774054828,1.3303834033026911,-1
HIMACHAL,SHIMLA,0.1338582677165354,0.1856155175724985,0.6086998271557518,0.0718263875552141,0.7399449880063146,1.555582818268508,0.9329869199068268,1.0731083487343025,-1
JAMMU AND KASHMIR,BARAMULLA,0.2412544169611307,0.3947879858657244,0.2188162544169611,0.1451413427561837,0.5234090136496519,0.280108560126531,1.0141551693244937,1.3225848780549958,-1
JAMMU AND KASHMIR,LADAKH (LEH),0.1627906976744186,0.2621564482029598,0.4186046511627907,0.1564482029598309,0.415811390074579,0.7199999869090912,0.084751836588425,1.3012399538357284,-1
JAMMU AND KASHMIR,KARGIL,0.2292879534258844,0.2991491267353336,0.2225705329153605,0.2489923869234214,0.372038304765287,0.2862903209315074,0.2000537538075613,1.3793040630734514,-1
JAMMU AND KASHMIR,RAJOURI,0.1316339323025491,0.1166945256999582,0.6785415796071876,0.073129962390305,1.0506259333593402,2.110822222584263,0.8575524099623724,0.9720183575576136,-1
JAMMU AND KASHMIR,BANDIPORE,0.231296402055968,0.3890633923472301,0.2407195888063963,0.1389206167904055,0.5076732905973579,0.3170364792834966,0.6274861135997133,1.3229346281360026,-1
JAMMU AND KASHMIR,RAMBAN(DDA),0.2524089129780186,0.3082655826558265,0.3015657934357121,0.1377597109304426,0.4822276283514317,0.4317740887779974,1.190109299408708,1.3448380799690447,-1
TAMIL NADU,RAMANATHAPURA,0.0635058182718494,0.1429809358752166,0.1848229759841545,0.6086902698687794,0.9143153655191868,0.2267274104377716,0.7237054291345636,1.067394667195755,-1
TAMIL NADU,TIRUNELVELI,0.0820021299254526,0.1966631167909123,0.1685007691397467,0.5528339841438883,0.8176500015408351,0.2026469329690523,0.7571223795018813,1.152646147178884,-1
TAMIL NADU,THOOTHUKUDI,0.0652140789273198,0.1700441871095535,0.1141246381228097,0.650617095840317,1.057237581688833,0.1288269691626643,0.5879770650421071,1.0066671862828571,-1
TAMIL NADU,NAGAPATTINAM,0.0615086485322615,0.0577765018301873,0.2053398406660446,0.6753750089715065,1.0974436878545852,0.2583995662406073,1.2482530012542554,0.9263996955882924,-1
PONDICHERRY,KARAIKAL,0.0639457591066205,0.044270140919968,0.1948285030576974,0.6969555969157138,1.156353773271913,0.2419714354478895,1.347787134922057,0.8841354629415892,-1
